scenario,num_aircraft,conflict_type,agent_type,model_name,temperature,runtime,num_total_commands,num_send_commands,score,log,final_details,experience_library
4_converging_multi_agent_llama3:70b-8419_False,4,converging,multi_agent,llama3:70b-8419,0.3,27.129694933885222,139,256,1,log_details,final_details,False
4_parallel_single_agent_llama3:70b-8419_True,4,parallel,single_agent,llama3:70b-8419,0.3,54.90004518584238,59,214,0,log_details,final_details,True
3_parallel_single_agent_llama3:70b-8419_False,3,parallel,single_agent,llama3:70b-8419,0.3,27.78933881889991,115,163,-1,log_details,final_details,False
4_parallel_single_agent_gpt-40_True,4,parallel,single_agent,gpt-40,0.3,83.76684227820179,489,125,-1,log_details,final_details,True
4_head-on_multi_agent_llama3:70b-8419_True,4,head-on,multi_agent,llama3:70b-8419,0.3,94.91049949850213,442,47,-1,log_details,final_details,True
2_head-on_single_agent_llama3:70b-8419_False,2,head-on,single_agent,llama3:70b-8419,0.3,56.74949283901083,240,58,-1,log_details,final_details,False
4_t-formation_single_agent_gpt-40_True,4,t-formation,single_agent,gpt-40,0.3,94.61936679195652,131,171,1,log_details,final_details,True
4_t-formation_multi_agent_gpt-40_False,4,t-formation,multi_agent,gpt-40,0.3,48.64889741865169,72,211,0,log_details,final_details,False
4_head-on_single_agent_llama3:70b-8419_True,4,head-on,single_agent,llama3:70b-8419,0.3,57.134283022262856,191,203,0,log_details,final_details,True
3_head-on_single_agent_gpt-40_False,3,head-on,single_agent,gpt-40,0.3,10.240421107068629,438,263,-1,log_details,final_details,False
3_head-on_single_agent_llama3:70b-8419_False,3,head-on,single_agent,llama3:70b-8419,0.3,20.93723507590107,90,186,1,log_details,final_details,False
2_converging_multi_agent_llama3:70b-8419_False,2,converging,multi_agent,llama3:70b-8419,0.3,41.215057074197915,341,141,-1,log_details,final_details,False
2_head-on_single_agent_gpt-40_False,2,head-on,single_agent,gpt-40,0.3,48.18868393643934,224,195,1,log_details,final_details,False
3_t-formation_multi_agent_gpt-40_False,3,t-formation,multi_agent,gpt-40,0.3,11.07248723888166,444,204,1,log_details,final_details,False
3_t-formation_single_agent_gpt-40_True,3,t-formation,single_agent,gpt-40,0.3,18.721071198522996,369,99,1,log_details,final_details,True
2_t-formation_single_agent_gpt-40_False,2,t-formation,single_agent,gpt-40,0.3,41.25090726721006,468,54,-1,log_details,final_details,False
3_converging_single_agent_llama3:70b-8419_False,3,converging,single_agent,llama3:70b-8419,0.3,86.95590568752768,313,102,0,log_details,final_details,False
3_parallel_multi_agent_llama3:70b-8419_False,3,parallel,multi_agent,llama3:70b-8419,0.3,57.29909681134207,334,265,1,log_details,final_details,False
4_parallel_multi_agent_llama3:70b-8419_False,4,parallel,multi_agent,llama3:70b-8419,0.3,78.44589054468581,407,113,-1,log_details,final_details,False
4_t-formation_single_agent_llama3:70b-8419_True,4,t-formation,single_agent,llama3:70b-8419,0.3,11.802666683792166,176,252,1,log_details,final_details,True
2_parallel_single_agent_gpt-40_True,2,parallel,single_agent,gpt-40,0.3,39.93178277197687,201,38,1,log_details,final_details,True
3_t-formation_single_agent_llama3:70b-8419_False,3,t-formation,single_agent,llama3:70b-8419,0.3,91.9620100729659,312,273,0,log_details,final_details,False
2_converging_multi_agent_gpt-40_False,2,converging,multi_agent,gpt-40,0.3,38.70606285598212,97,26,1,log_details,final_details,False
2_parallel_single_agent_llama3:70b-8419_True,2,parallel,single_agent,llama3:70b-8419,0.3,36.22878345642728,499,148,0,log_details,final_details,True
3_converging_single_agent_llama3:70b-8419_True,3,converging,single_agent,llama3:70b-8419,0.3,34.701850300246306,396,29,1,log_details,final_details,True
2_t-formation_single_agent_gpt-40_True,2,t-formation,single_agent,gpt-40,0.3,23.221474348408208,460,137,0,log_details,final_details,True
3_converging_single_agent_gpt-40_True,3,converging,single_agent,gpt-40,0.3,24.16107029830971,318,134,1,log_details,final_details,True
4_parallel_multi_agent_llama3:70b-8419_True,4,parallel,multi_agent,llama3:70b-8419,0.3,77.47431954768896,364,118,1,log_details,final_details,True
2_head-on_multi_agent_gpt-40_False,2,head-on,multi_agent,gpt-40,0.3,16.98827382567403,201,126,0,log_details,final_details,False
3_head-on_single_agent_llama3:70b-8419_True,3,head-on,single_agent,llama3:70b-8419,0.3,27.068103430189527,401,64,1,log_details,final_details,True
2_parallel_multi_agent_gpt-40_True,2,parallel,multi_agent,gpt-40,0.3,22.42668277721016,63,260,-1,log_details,final_details,True
2_t-formation_multi_agent_gpt-40_False,2,t-formation,multi_agent,gpt-40,0.3,55.66192776745702,285,25,0,log_details,final_details,False
